Name	Abbr	Group	ISSN	eISSN	IF_2025	Five_Year_JIF	JIF_Quartile	JIF_Rank
STUDIES IN MYCOLOGY	STUD MYCOL	WESTERDIJK FUNGAL BIODIVERSITY INST	0166-0616	1872-9797	17.1	22.2	Q1	2/32
JAMA Psychiatry	JAMA PSYCHIAT	AMER MEDICAL ASSOC	2168-622X	2168-6238	17.1	21.8	Q1	4/288
National Science Review	NATL SCI REV	OXFORD UNIV PRESS	2095-5138	2053-714X	17.1	17.7	Q1	8/135
Nano Energy	NANO ENERGY	ELSEVIER	2211-2855	2211-3282	17.1	16.9	Q1	10/187
eTransportation	ETRANSPORTATION	ELSEVIER	2590-1168	2590-1168	17.0	17.4	Q1	1/77
Clinical and Molecular Hepatology	CLIN MOL HEPATOL	KOREAN ASSOC STUDY LIVER	2287-2728	2287-285X	16.9	12.0	Q1	6/147
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	ANGEW CHEM INT EDIT	WILEY-V C H VERLAG GMBH		1521-3773	16.9	16.4	Q1	15/239
International Journal of Educational Technology in Higher Education	INT J EDUC TECHNOL H	SPRINGER	2365-9440	2365-9440	16.7	15.5	Q1	1/756
Annual Review of Entomology	ANNU REV ENTOMOL	ANNUAL REVIEWS	0066-4170	1545-4487	16.7	20.7	Q1	1/110
DIABETES CARE	DIABETES CARE	AMER DIABETES ASSOC	0149-5992	1935-5548	16.6	14.5	Q1	6/191
Journal of Advanced Ceramics	J ADV CERAM	TSINGHUA UNIV PRESS	2226-4108	2227-8508	16.6	15.6	Q1	1/33
Molecular Cell	MOL CELL	CELL PRESS	1097-2765	1097-4164	16.6	17.7	Q1	7/319
CANCER RESEARCH	CANCER RES	AMER ASSOC CANCER RESEARCH	0008-5472	1538-7445	16.6	13.4	Q1	16/326
Annual Review of Clinical Psychology	ANNU REV CLIN PSYCHO	ANNUAL REVIEWS	1548-5943	1548-5951	16.5	24.3	Q1	1/185
Academy of Management Annals	ACAD MANAG ANN	ACAD MANAGEMENT	1941-6520	1941-6067	16.5	26.9	Q1	1/316
Lancet Rheumatology	LANCET RHEUMATOL	ELSEVIER	2665-9913	2665-9913	16.4	14.6	Q1	3/58
IEEE Geoscience and Remote Sensing Magazine	IEEE GEOSC REM SEN M	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	2473-2397	2168-6831	16.4	19.1	Q1	1/65
Journal of the National Comprehensive Cancer Network	J NATL COMPR CANC NE	HARBORSIDE PRESS	1540-1405	1540-1413	16.4	13.2	Q1	17/326
Green Energy and Intelligent Transportation	GREEN ENERGY INTELL	ELSEVIER	2097-2512	2773-1537	16.4	16.4	Q1	2/77
Science Immunology	SCI IMMUNOL	AMER ASSOC ADVANCEMENT SCIENCE	2470-9468	2470-9468	16.3	17.7	Q1	6/183
RENEWABLE & SUSTAINABLE ENERGY REVIEWS	RENEW SUST ENERG REV	PERGAMON-ELSEVIER SCIENCE LTD	1364-0321	1879-0690	16.3	17.5	Q1	3/102
TRENDS IN GENETICS	TRENDS GENET	CELL PRESS	0168-9525	1362-4555	16.3	13.7	Q1	4/191
BRITISH JOURNAL OF SPORTS MEDICINE	BRIT J SPORT MED	BMJ PUBLISHING GROUP	0306-3674	1473-0480	16.2	17.8	Q1	1/133
CIRCULATION RESEARCH	CIRC RES	LIPPINCOTT WILLIAMS & WILKINS	0009-7330	1524-4571	16.2	20.8	Q1	2/98
PROGRESS IN AEROSPACE SCIENCES	PROG AEROSP SCI	PERGAMON-ELSEVIER SCIENCE LTD	0376-0421	1873-1724	16.2	17.1	Q1	1/55
HUMAN REPRODUCTION UPDATE	HUM REPROD UPDATE	OXFORD UNIV PRESS	1355-4786	1460-2369	16.1	17.9	Q1	1/140
Nature Geoscience	NAT GEOSCI	NATURE PORTFOLIO	1752-0894	1752-0908	16.1	20.0	Q1	2/258
Applied Mechanics Reviews	APPL MECH REV	ASME	0003-6900	2379-0407	16.1	15.1	Q1	2/171
Nature Protocols	NAT PROTOC	NATURE PORTFOLIO	1754-2189	1750-2799	16.0	19.4	Q1	2/86
ACS Nano	ACS NANO	AMER CHEMICAL SOC	1936-0851	1936-086X	16.0	16.4	Q1	28/460
Annual Review of Environment and Resources	ANNU REV ENV RESOUR	ANNUAL REVIEWS	1543-5938	1545-2050	16.0	22.2	Q1	3/191
Nature Human Behaviour	NAT HUM BEHAV	NATURE PORTFOLIO	2397-3374	2397-3374	15.9	19.7	Q1	2/102
Energy Material Advances	ENERGY MATER ADV	AMER ASSOC ADVANCEMENT SCIENCE	2097-1133	2692-7640	15.9	15.2	Q1	11/187
HEPATOLOGY	HEPATOLOGY	LIPPINCOTT WILLIAMS & WILKINS	0270-9139	1527-3350	15.8	14.5	Q1	7/147
Physical Review X	PHYS REV X	AMER PHYSICAL SOC	2160-3308	2160-3308	15.7	15.4	Q1	6/114
PERIODONTOLOGY 2000	PERIODONTOL 2000	WILEY	0906-6713	1600-0757	15.7	18.1	Q1	1/162
SEMINARS IN CANCER BIOLOGY	SEMIN CANCER BIOL	ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD	1044-579X	1096-3650	15.7	15.5	Q1	18/326
Nature Communications	NAT COMMUN	NATURE PORTFOLIO		2041-1723	15.7	17.2	Q1	10/135
Journal of the American Chemical Society	J AM CHEM SOC	AMER CHEMICAL SOC	0002-7863	1520-5126	15.6	15.5	Q1	17/239
Lancet Child & Adolescent Health	LANCET CHILD ADOLESC	ELSEVIER SCI LTD	2352-4642	2352-4642	15.5	17.8	Q1	2/191
Journal of Innovation & Knowledge	J INNOV KNOWL	ELSEVIER ESPANA	2530-7614	2444-569X	15.5	15.0	Q1	2/316
Information Fusion	INFORM FUSION	ELSEVIER	1566-2535	1872-6305	15.5	17.9	Q1	3/147
npj Flexible Electronics	NPJ FLEX ELECTRON	NATURE PORTFOLIO		2397-4621	15.5	15.8	Q1	6/366
BMEMat	BMEMAT	WILEY	2751-7438	2751-7446	15.5	15.5	Q1	3/55
INTERNATIONAL MATERIALS REVIEWS	INT MATER REV	SAGE PUBLICATIONS INC	0950-6608	1743-2804	15.5	20.6	Q1	29/460
Statistics Surveys	STAT SURV	AMER STATISTICAL ASSOC	1935-7516	1935-7516	15.4	9.4	Q1	1/167
TRENDS IN FOOD SCIENCE & TECHNOLOGY	TRENDS FOOD SCI TECH	ELSEVIER SCIENCE LONDON	0924-2244	1879-3053	15.4	18.4	Q1	2/181
CELL DEATH AND DIFFERENTIATION	CELL DEATH DIFFER	SPRINGERNATURE	1350-9047	1476-5403	15.4	13.7	Q1	8/319
One Earth	ONE EARTH	CELL PRESS	2590-3330	2590-3322	15.3	19.2	Q1	4/191
RADIOLOGY	RADIOLOGY	RADIOLOGICAL SOC NORTH AMERICA (RSNA)	0033-8419		15.2	14.3	Q1	1/212
ANNALS OF INTERNAL MEDICINE	ANN INTERN MED	AMER COLL PHYSICIANS	0003-4819	1539-3704	15.2	19.9	Q1	9/332
JACC-Cardiovascular Imaging	JACC-CARDIOVASC IMAG	ELSEVIER SCIENCE INC	1936-878X	1876-7591	15.2	13.9	Q1	1/212
Translational Neurodegeneration	TRANSL NEURODEGENER	BMC	2047-9158	2047-9158	15.2	15.0	Q1	7/314
Mycosphere	MYCOSPHERE	MYCOSPHERE PRESS	2077-7000	2077-7019	15.1	15.5	Q1	3/32
npj Digital Medicine	NPJ DIGIT MED	NATURE PORTFOLIO	2398-6352	2398-6352	15.1	17.0	Q1	1/185
TRENDS IN NEUROSCIENCES	TRENDS NEUROSCI	CELL PRESS	0166-2236	1878-108X	15.1	17.2	Q1	8/314
Neuron	NEURON	CELL PRESS	0896-6273	1097-4199	15.0	16.6	Q1	9/314
Bone Research	BONE RES	SPRINGERNATURE	2095-4700	2095-6231	15.0	14.8	Q1	2/32
JAMA Surgery	JAMA SURG	AMER MEDICAL ASSOC	2168-6254	2168-6262	14.9	16.7	Q1	1/312
Journal of Energy Chemistry	J ENERGY CHEM	ELSEVIER	2095-4956	2095-4956	14.9	13.1	Q1	2/75
PROGRESS IN LIPID RESEARCH	PROG LIPID RES	PERGAMON-ELSEVIER SCIENCE LTD	0163-7827	1873-2194	14.9	16.5	Q1	1/112
TRENDS IN BIOTECHNOLOGY	TRENDS BIOTECHNOL	CELL PRESS	0167-7799	1879-3096	14.9	16.6	Q1	3/177
TRENDS IN MICROBIOLOGY	TRENDS MICROBIOL	CELL PRESS	0966-842X	1878-4380	14.9	16.9	Q1	9/319
International Journal of Transgender Health	INT J TRANSGEND HEAL	TAYLOR & FRANCIS INC	2689-5269	2689-5277	14.8	10.8	Q1	1/271
AI Open	AI OPEN	KEAI PUBLISHING LTD		2666-6510	14.8	29.7	Q1	3/175
PROGRESS IN RETINAL AND EYE RESEARCH	PROG RETIN EYE RES	PERGAMON-ELSEVIER SCIENCE LTD	1350-9462	1873-1635	14.7	19.2	Q1	1/98
AMERICAN JOURNAL OF PSYCHIATRY	AM J PSYCHIAT	"AMER PSYCHIATRIC PUBLISHING, INC"	0002-953X	1535-7228	14.7	17.9	Q1	5/288
ENDOCRINE PATHOLOGY	ENDOCR PATHOL	HUMANA PRESS INC	1046-3976	1559-0097	14.7	7.5	Q1	2/90
Accounts of Materials Research	ACCOUNTS MATER RES	AMER CHEMICAL SOC		2643-6728	14.7	16.0	Q1	31/460
Acta Pharmaceutica Sinica B	ACTA PHARM SIN B	"INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES"	2211-3835	2211-3843	14.6	15.2	Q1	6/352
Science Translational Medicine	SCI TRANSL MED	AMER ASSOC ADVANCEMENT SCIENCE	1946-6234	1946-6242	14.6	16.0	Q1	3/195
Lancet Healthy Longevity	LANCET HEALTH LONGEV	ELSEVIER	2666-7568	2666-7568	14.6	16.3	Q1	2/73
Nature Reviews Urology	NAT REV UROL	NATURE PORTFOLIO	1759-4812	1759-4820	14.6	16.0	Q1	4/133
Green Energy & Environment	GREEN ENERGY ENVIRON	KEAI PUBLISHING LTD	2096-2797	2468-0257	14.6	12.4	Q1	7/175
HemaSphere	HEMASPHERE	WILEY		2572-9241	14.6	10.8	Q1	5/98
Nature Ecology & Evolution	NAT ECOL EVOL	NATURE PORTFOLIO	2397-334X	2397-334X	14.5	17.6	Q1	2/200
Communications in Transportation Research	COMMUN TRANSP RES	ELSEVIER	2772-4247	2772-4247	14.5	13.5	Q1	1/61
Journal of Extracellular Vesicles	J EXTRACELL VESICLES	WILEY		2001-3078	14.5	16.7	Q1	15/204
DRUGS	DRUGS	ADIS INT LTD	0012-6667	1179-1950	14.4	13.2	Q1	1/106
Qualitative Psychology	QUAL PSYCHOL	AMER PSYCHOLOGICAL ASSOC	2326-3601	2326-3598	14.3	8.9	Q1	5/221
IEEE Transactions on Intelligent Vehicles	IEEE T INTELL VEHICL	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	2379-8858	2379-8904	14.3	13.1	Q1	7/366
Nature Astronomy	NAT ASTRON	NATURE PORTFOLIO	2397-3366	2397-3366	14.3	14.3	Q1	5/84
Journal of Materials Science & Technology	J MATER SCI TECHNOL	ELSEVIER	1005-0302	1941-1162	14.3	12.4	Q1	1/96
Physics of Life Reviews	PHYS LIFE REV	ELSEVIER	1571-0645	1873-1457	14.3	11.1	Q1	1/107
Environmental Science and Ecotechnology	ENVIRON SCI ECOTECH	ELSEVIER	2666-4984	2666-4984	14.3	15.0	Q1	11/374
Autophagy	AUTOPHAGY	TAYLOR & FRANCIS INC	1554-8627	1554-8635	14.3	17.1	Q1	16/204
Energy Economics	ENERG ECON	ELSEVIER	0140-9883	1873-6181	14.2	13.2	Q1	1/617
COMPOSITES PART B-ENGINEERING	COMPOS PART B-ENG	ELSEVIER SCI LTD	1359-8368	1879-1069	14.2	12.7	Q1	1/175
JOURNAL OF MANUFACTURING SYSTEMS	J MANUF SYST	ELSEVIER SCI LTD	0278-6125	1878-6642	14.2	13.9	Q1	1/106
JAMA Cardiology	JAMA CARDIOL	AMER MEDICAL ASSOC	2380-6583	2380-6591	14.1	15.6	Q1	7/230
Energy & Environmental Materials	ENERGY ENVIRON MATER	WILEY		2575-0356	14.1	14.7	Q1	33/460
Advanced Science	ADV SCI	WILEY		2198-3844	14.1	15.6	Q1	33/460
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY	COMPR REV FOOD SCI F	WILEY	1541-4337	1541-4337	14.1	17.8	Q1	3/181
Annual Review of Control Robotics and Autonomous Systems	ANNU REV CONTR ROBOT	ANNUAL REVIEWS		2573-5144	14.0	17.6	Q1	2/89
ACADEMY OF MANAGEMENT REVIEW	ACAD MANAGE REV	ACAD MANAGEMENT	0363-7425	1930-3807	13.9	19.3	Q1	3/316
ARTIFICIAL INTELLIGENCE REVIEW	ARTIF INTELL REV	SPRINGER	0269-2821	1573-7462	13.9	14.9	Q1	7/204
TRENDS IN IMMUNOLOGY	TRENDS IMMUNOL	CELL PRESS	1471-4906	1471-4981	13.9	15.2	Q1	7/183
Journal of Magnesium and Alloys	J MAGNES ALLOY	KEAI PUBLISHING LTD	2213-9567	2213-9567	13.8	14.1	Q1	2/96
Advances in Applied Energy	ADV APPL ENERGY	ELSEVIER	2666-7924	2666-7924	13.8	14.4	Q1	13/182
TRENDS IN MOLECULAR MEDICINE	TRENDS MOL MED	CELL PRESS	1471-4914	1471-499X	13.8	14.4	Q1	4/195
Materials Reports: Energy	MATER REP-ENERGY	KEAI PUBLISHING LTD		2666-9358	13.8	13.4	Q1	13/182
ADVANCES IN PHYSICS	ADV PHYS	TAYLOR & FRANCIS LTD	0001-8732	1460-6976	13.8	43.5	Q1	6/79
International Journal of Mining Science and Technology	INT J MIN SCI TECHNO	ELSEVIER	2095-2686	2212-6066	13.7	10.1	Q1	1/33
BEHAVIORAL AND BRAIN SCIENCES	BEHAV BRAIN SCI	CAMBRIDGE UNIV PRESS	0140-525X	1469-1825	13.7	16.4	Q1	2/57
Nature Chemical Biology	NAT CHEM BIOL	NATURE PORTFOLIO	1552-4450	1552-4469	13.7	15.7	Q1	12/319
IEEE Journal of Selected Topics in Signal Processing	IEEE J-STSP	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	1932-4553	1941-0484	13.7	11.6	Q1	8/366
Annual Review of Biophysics	ANNU REV BIOPHYS	ANNUAL REVIEWS	1936-122X	1936-1238	13.7	15.1	Q1	2/79
IEEE TRANSACTIONS ON IMAGE PROCESSING	IEEE T IMAGE PROCESS	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	1057-7149	1941-0042	13.7	13.7	Q1	8/366
Aggregate	AGGREGATE	WILEY		2692-4560	13.7	15.3	Q1	36/460
Nature Plants	NAT PLANTS	NATURE PORTFOLIO	2055-026X	2055-0278	13.6	17.0	Q1	4/273
JOURNAL OF CLINICAL INVESTIGATION	J CLIN INVEST	AMER SOC CLINICAL INVESTIGATION INC	0021-9738	1558-8238	13.6	14.4	Q1	5/195
Interdisciplinary Medicine	INTERD MED	WILEY	2832-6237	2832-6245	13.6	13.6	Q1	5/195
Trends in Chemistry	TRENDS CHEM	CELL PRESS		2589-5974	13.6	16.6	Q1	22/239
Biochar	BIOCHAR	SPRINGER SINGAPORE PTE LTD	2524-7972	2524-7867	13.5	14.1	Q1	1/48
Experimental Hematology & Oncology	EXP HEMATOL ONCOL	BMC		2162-3619	13.5	11.3	Q1	6/98
ACTA PHYSICO-CHIMICA SINICA	ACTA PHYS-CHIM SIN	PEKING UNIV PRESS	1000-6818		13.5	6.6	Q1	20/185
Advances in Methods and Practices in Psychological Science	ADV METH PRACT PSYCH	SAGE PUBLICATIONS INC	2515-2459	2515-2467	13.4	18.5	Q1	6/221
NEURO-ONCOLOGY	NEURO-ONCOLOGY	OXFORD UNIV PRESS INC	1522-8517	1523-5866	13.4	16.0	Q1	4/285
Implementation Science	IMPLEMENT SCI	BMC	1748-5908	1748-5908	13.4	11.7	Q1	1/124
Trends in Environmental Analytical Chemistry	TRENDS ENVIRON ANAL	ELSEVIER	2214-1588	2214-1588	13.4	12.4	Q1	1/111
LEUKEMIA	LEUKEMIA	SPRINGERNATURE	0887-6924	1476-5551	13.4	10.6	Q1	20/326
Annual Review of Nutrition	ANNU REV NUTR	ANNUAL REVIEWS	0199-9885	1545-4312	13.4	14.8	Q1	2/112
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE	CURR OPIN SOLID ST M	PERGAMON-ELSEVIER SCIENCE LTD	1359-0286	1879-0348	13.4	13.1	Q1	12/187
Theranostics	THERANOSTICS	IVYSPRING INT PUBL	1838-7640	1838-7640	13.3	13.1	Q1	7/195
Business Strategy and the Environment	BUS STRATEG ENVIRON	WILEY	0964-4733	1099-0836	13.3	16.1	Q1	5/420
CARDIOVASCULAR RESEARCH	CARDIOVASC RES	OXFORD UNIV PRESS	0008-6363	1755-3245	13.3	12.0	Q1	8/230
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE	TECHNOL FORECAST SOC	ELSEVIER SCIENCE INC	0040-1625	1873-5509	13.3	13.9	Q1	1/55
Radiology-Artificial Intelligence	RADIOL-ARTIF INTELL	RADIOLOGICAL SOC NORTH AMERICA (RSNA)	2638-6100	2638-6100	13.2	13.2	Q1	3/212
Annual Review of Neuroscience	ANNU REV NEUROSCI	ANNUAL REVIEWS	0147-006X	1545-4126	13.2	16.9	Q1	11/314
Chemical Engineering Journal	CHEM ENG J	ELSEVIER SCIENCE SA	1385-8947	1873-3212	13.2	13.5	Q1	3/83
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY	CRIT REV ENV SCI TEC	TAYLOR & FRANCIS INC	1064-3389	1547-6537	13.2	14.6	Q1	14/374
NUCLEIC ACIDS RESEARCH	NUCLEIC ACIDS RES	OXFORD UNIV PRESS	0305-1048	1362-4962	13.1	16.8	Q1	13/319
Journal of Retailing and Consumer Services	J RETAIL CONSUM SERV	ELSEVIER SCI LTD	0969-6989	1873-1384	13.1	12.8	Q1	6/316
CEMENT AND CONCRETE RESEARCH	CEMENT CONCRETE RES	PERGAMON-ELSEVIER SCIENCE LTD	0008-8846	1873-3948	13.1	15.3	Q1	1/95
Annual Review of Pharmacology and Toxicology	ANNU REV PHARMACOL	ANNUAL REVIEWS	0362-1642	1545-4304	13.1	14.2	Q1	2/106
CEMENT & CONCRETE COMPOSITES	CEMENT CONCRETE COMP	ELSEVIER SCI LTD	0958-9465	1873-393X	13.1	13.4	Q1	1/95
ACS Catalysis	ACS CATAL	AMER CHEMICAL SOC	2155-5435	2155-5435	13.1	13.3	Q1	21/185
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	J PHOTOCH PHOTOBIO C	ELSEVIER	1389-5567	1873-2739	13.1	15.9	Q1	21/185
Journal of Bioresources and Bioproducts	J BIORESOUR BIOPROD	KEAI PUBLISHING LTD	2097-2415	2369-9698	13.0		Q1	1/24
Lancet Regional Health-Europe	LANCET REG HEALTH-EU	ELSEVIER	2666-7762	2666-7762	13.0	12.5	Q1	3/185
Journal of Advanced Research	J ADV RES	ELSEVIER	2090-1232	2090-1224	13.0	11.6	Q1	11/135
Lancet HIV	LANCET HIV	ELSEVIER INC	2352-3018	2352-3018	13.0	12.3	Q1	3/137
HUMAN RESOURCE MANAGEMENT REVIEW	HUM RESOUR MANAGE R	ELSEVIER	1053-4822	1873-7889	13.0	13.2	Q1	6/420
Annual Review of Earth and Planetary Sciences	ANNU REV EARTH PL SC	ANNUAL REVIEWS	0084-6597	1545-4495	13.0	18.5	Q1	3/258
Foundations and Trends in Information Retrieval	FOUND TRENDS INF RET	NOW PUBLISHERS INC	1554-0669	1554-0677	12.9	13.3	Q1	2/258
BIOMATERIALS	BIOMATERIALS	ELSEVIER SCI LTD	0142-9612	1878-5905	12.9	13.4	Q1	5/124
EXPERIMENTAL AND MOLECULAR MEDICINE	EXP MOL MED	SPRINGERNATURE	1226-3613	2092-6413	12.9	14.2	Q1	8/195
ENDOSCOPY	ENDOSCOPY	GEORG THIEME VERLAG KG	0013-726X	1438-8812	12.8	10.3	Q1	2/312
INTERNATIONAL JOURNAL OF PLASTICITY	INT J PLASTICITY	PERGAMON-ELSEVIER SCIENCE LTD	0749-6419	1879-2154	12.8	11.6	Q1	3/182
JACC: CardioOncology	JACC-CARDIOONCOL	ELSEVIER	2666-0873	2666-0873	12.8	13.4	Q1	9/230
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH	J EXP CLIN CANC RES	BMC		1756-9966	12.8	12.2	Q1	22/326
SmartMat	SMARTMAT	WILEY	2766-8525	2688-819X	12.8	13.3	Q1	39/460
Protein & Cell	PROTEIN CELL	OXFORD UNIV PRESS	1674-800X	1674-8018	12.8	19.5	Q1	18/204
Annual Review of Chemical and Biomolecular Engineering	ANNU REV CHEM BIOMOL	ANNUAL REVIEWS	1947-5438	1947-5446	12.8	11.9	Q1	3/75
QUARTERLY JOURNAL OF ECONOMICS	Q J ECON	OXFORD UNIV PRESS INC	0033-5533	1531-4650	12.7	20.9	Q1	2/617
Microbiome	MICROBIOME	BMC	2049-2618	2049-2618	12.7	16.6	Q1	8/163
Computer Science Review	COMPUT SCI REV	ELSEVIER	1574-0137	1876-7745	12.7	16.0	Q1	3/258
KIDNEY INTERNATIONAL	KIDNEY INT	ELSEVIER SCIENCE INC	0085-2538	1523-1755	12.6	13.7	Q1	5/133
Analytic Methods in Accident Research	ANAL METHODS ACCID R	ELSEVIER	2213-6657	2213-6665	12.6	14.2	Q1	10/419
JOURNAL OF NANOBIOTECHNOLOGY	J NANOBIOTECHNOL	BMC		1477-3155	12.6	12.3	Q1	4/177
TRENDS IN ENDOCRINOLOGY AND METABOLISM	TRENDS ENDOCRIN MET	CELL PRESS	1043-2760	1879-3061	12.6	12.5	Q1	8/191
EcoMat	ECOMAT	WILEY		2567-3173	12.6	13.1	Q1	7/102
TECHNOLOGY IN SOCIETY	TECHNOL SOC	ELSEVIER SCI LTD	0160-791X	1879-3274	12.5	11.5	Q1	2/271
Science Advances	SCI ADV	AMER ASSOC ADVANCEMENT SCIENCE	2375-2548	2375-2548	12.5	14.1	Q1	12/135
Carbohydrate Polymers	CARBOHYD POLYM	ELSEVIER SCI LTD	0144-8617	1879-1344	12.5	11.9	Q1	1/57
PHARMACOLOGY & THERAPEUTICS	PHARMACOL THERAPEUT	PERGAMON-ELSEVIER SCIENCE LTD	0163-7258	1879-016X	12.5	14.0	Q1	9/352
Cell Discovery	CELL DISCOV	SPRINGERNATURE		2056-5968	12.5	14.3	Q1	19/204
BIOTECHNOLOGY ADVANCES	BIOTECHNOL ADV	PERGAMON-ELSEVIER SCIENCE LTD	0734-9750	1873-1899	12.5	15.7	Q1	5/177
Carbon Neutrality	CARBON NEUTRALITY	SPRINGERNATURE	2788-8614	2731-3948	12.5	12.5	Q1	8/102
PROGRESS IN QUANTUM ELECTRONICS	PROG QUANT ELECTRON	PERGAMON-ELSEVIER SCIENCE LTD	0079-6727	1873-1627	12.5	13.6	Q1	1/28
Tourism Management	TOURISM MANAGE	ELSEVIER SCI LTD	0261-5177	1879-3193	12.4	13.6	Q1	1/139
FOOD HYDROCOLLOIDS	FOOD HYDROCOLLOID	ELSEVIER SCI LTD	0268-005X	1873-7137	12.4	13.3	Q1	4/181
WATER RESEARCH	WATER RES	PERGAMON-ELSEVIER SCIENCE LTD	0043-1354	1879-2448	12.4	12.9	Q1	2/131
Artificial Intelligence in Agriculture	ARTIF INTELL AGR	KEAI PUBLISHING LTD	2097-2113	2589-7217	12.4	12.7	Q1	1/94
AGEING RESEARCH REVIEWS	AGEING RES REV	ELSEVIER IRELAND LTD	1568-1637	1872-9649	12.4	14.9	Q1	3/73
Annual Review of Food Science and Technology	ANNU REV FOOD SCI T	ANNUAL REVIEWS	1941-1413	1941-1421	12.4	14.2	Q1	4/181
FEMS MICROBIOLOGY REVIEWS	FEMS MICROBIOL REV	OXFORD UNIV PRESS	0168-6445	1574-6976	12.3	13.4	Q1	9/163
International Journal of Oral Science	INT J ORAL SCI	SPRINGERNATURE	1674-2818	2049-3169	12.2	13.6	Q1	2/162
COMMUNICATIONS OF THE ACM	COMMUN ACM	ASSOC COMPUTING MACHINERY	0001-0782	1557-7317	12.2	20.3	Q1	1/60
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	ISPRS J PHOTOGRAMM	ELSEVIER	0924-2716	1872-8235	12.2	13.7	Q1	1/67
CLINICAL PSYCHOLOGY REVIEW	CLIN PSYCHOL REV	PERGAMON-ELSEVIER SCIENCE LTD	0272-7358	1873-7811	12.2	16.8	Q1	3/185
Smart Learning Environments	SMART LEARN ENVIRON	SPRINGER HEIDELBERG		2196-7091	12.1	10.2	Q1	2/756
Small	SMALL	WILEY-V C H VERLAG GMBH	1613-6810	1613-6829	12.1	12.5	Q1	14/187
JOURNAL OF BIOMEDICAL SCIENCE	J BIOMED SCI	BMC	1021-7770	1423-0127	12.1	12.0	Q1	9/195
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING	ARCH COMPUT METHOD E	SPRINGER	1134-3060	1886-1784	12.1	11.9	Q1	1/136
JOURNAL OF FINANCIAL ECONOMICS	J FINANC ECON	ELSEVIER SCIENCE SA	0304-405X		12.0	13.7	Q1	1/241
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION	IEEE T EVOLUT COMPUT	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	1089-778X	1941-0026	12.0	14.5	Q1	6/147
MOLECULAR THERAPY	MOL THER	CELL PRESS	1525-0016	1525-0024	12.0	12.4	Q1	5/191
Clinical Gastroenterology and Hepatology	CLIN GASTROENTEROL H	ELSEVIER SCIENCE INC	1542-3565	1542-7714	12.0	11.7	Q1	9/147
GLOBAL CHANGE BIOLOGY	GLOBAL CHANGE BIOL	WILEY	1354-1013	1365-2486	12.0	14.0	Q1	1/73
IEEE Reviews in Biomedical Engineering	IEEE REV BIOMED ENG	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	1937-3333	1941-1189	12.0	13.1	Q1	6/124
ALLERGY	ALLERGY	WILEY	0105-4538	1398-9995	12.0	11.3	Q1	1/39
Sustainable Cities and Society	SUSTAIN CITIES SOC	ELSEVIER	2210-6707	2210-6715	12.0	11.3	Q1	3/95
Advanced Industrial and Engineering Polymer Research	ADV IND ENG POLY RES	KEAI PUBLISHING LTD	2542-5048	2542-5048	12.0		Q1	3/94
Carbon Neutralization	CARBON NEUTRALIZAT	WILEY	2769-3333	2769-3325	12.0	12.0	Q1	9/102
TRAC-TRENDS IN ANALYTICAL CHEMISTRY	TRAC-TREND ANAL CHEM	ELSEVIER SCI LTD	0165-9936	1879-3142	12.0	13.2	Q1	2/111
IEEE TRANSACTIONS ON FUZZY SYSTEMS	IEEE T FUZZY SYST	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	1063-6706	1941-0034	11.9	10.8	Q1	11/366
METABOLISM-CLINICAL AND EXPERIMENTAL	METABOLISM	W B SAUNDERS CO-ELSEVIER INC	0026-0495	1532-8600	11.9	11.8	Q1	9/191
Redox Biology	REDOX BIOL	ELSEVIER	2213-2317	2213-2317	11.9	13.1	Q1	15/319
Asian Journal of Pharmaceutical Sciences	ASIAN J PHARM SCI	SHENYANG PHARMACEUTICAL UNIV	1818-0876	1818-0876	11.9	10.9	Q1	10/352
JOURNAL OF INFECTION	J INFECTION	W B SAUNDERS CO LTD	0163-4453	1532-2742	11.9	10.3	Q1	4/137
Protection and Control of Modern Power Systems	PROT CONTR MOD POW	Power System Protection & Control Press	2367-2617	2367-0983	11.9	9.6	Q1	11/366
npj Computational Materials	NPJ COMPUT MATER	NATURE PORTFOLIO		2057-3960	11.9	13.0	Q1	45/460
